id,value,feed_id,created_at,lat,lon,ele
0FR4MPGGSSPSE7FB7A167JMNPP,0,2936999,2024-11-21 22:56:20 UTC,,,
0FR4MPTPS7SPGS0M2WKYC3YECR,1,2936999,2024-11-21 22:56:53 UTC,,,
0FR4MPTXPNMVRA6QVT60KAE2WS,0,2936999,2024-11-21 22:56:54 UTC,,,
0FR4MQ7DQ37SX9B5P4XJEMYYNE,1,2936999,2024-11-21 22:57:35 UTC,,,
0FR4MQ9BHGEV05B4AYKFD0FFE5,0,2936999,2024-11-21 22:57:41 UTC,,,
0FR4MQ9P84FJWY036DHH2M394C,1,2936999,2024-11-21 22:57:42 UTC,,,
0FR4MQA4BGKYJCP157FJACWQ4Z,0,2936999,2024-11-21 22:57:44 UTC,,,
0FR4MQAWPXKTV1RJF7SJZHPZG9,1,2936999,2024-11-21 22:57:46 UTC,,,
0FR4MQB8H8J1CAZKM62YAJ5KQP,0,2936999,2024-11-21 22:57:47 UTC,,,
0FR4MSXSRM48QSQRSV90JH7HFB,1,2936999,2024-11-21 23:02:18 UTC,,,
0FR4MSY1W4MC2TVE0Q37ZY2JAV,0,2936999,2024-11-21 23:02:19 UTC,,,
0FR4MSZAX6RY7X1ACJCY5YR7SB,1,2936999,2024-11-21 23:02:23 UTC,,,
0FR4MSZJHA1YQXG2YGKNGX1P76,0,2936999,2024-11-21 23:02:24 UTC,,,
0FR4MSZTX76CV2HWBBK4T936GZ,1,2936999,2024-11-21 23:02:25 UTC,,,
0FR4MT01FZQQN68TH8MVPC0ADY,0,2936999,2024-11-21 23:02:25 UTC,,,
0FR4MT1PH2QJVDP1K5FVCPM41E,1,2936999,2024-11-21 23:02:31 UTC,,,
